znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Volkswagen,Tiguan,280000,2017,Ojeté,287497,Benzín,110,Manuální
Hyundai,i20,350000,2024,Ojeté,12266,Benzín,58,Manuální
Škoda,Octavia,210000,2015,Ojeté,151519,Nafta,81,Manuální
Hyundai,i30,310000,2022,Ojeté,73864,Benzín,88,Manuální
Škoda,Kodiaq,600000,2019,Ojeté,160269,Nafta,140,Automatická
Volkswagen,Passat,349000,2017,Ojeté,165000,Nafta,140,Automatická
Ford,Fiesta,39900,2005,Ojeté,149692,Benzín,59,Manuální
Kia,Cee´d,50000,2010,Ojeté,173238,Benzín,66,Manuální
Ford,Kuga,924900,2026,Nové,10,Hybridní,134,Automatická
Volkswagen,Passat,449000,2020,Ojeté,125362,Nafta,110,Automatická
Porsche,Cayenne,899555,2015,Ojeté,105400,Benzín,309,Automatická
Škoda,Karoq,430000,2020,Ojeté,63538,Benzín,85,Manuální
Subaru,Outback,1275000,2025,Nové,28,Benzín,124,Automatická
Land Rover,Discovery Sport,729555,2021,Ojeté,69426,Nafta,132,Automatická
Cupra,Formentor,569555,2022,Ojeté,128629,Nafta,110,Automatická
Škoda,Octavia,700000,2024,Ojeté,30083,Benzín,110,Automatická
Toyota,Auris,248000,2014,Ojeté,218000,Hybridní,73,Automatická
Jeep,Grand Cherokee,330000,2009,Ojeté,135200,Nafta,160,Automatická
Škoda,Karoq,399000,2018,Ojeté,168618,Nafta,110,Manuální
Škoda,Roomster,99000,2009,Ojeté,110700,Benzín,51,Manuální
Renault,Captur,230000,2016,Ojeté,76000,Benzín,87,Manuální
Škoda,Roomster,99000,2009,Ojeté,130000,Benzín,51,Manuální
Škoda,Karoq,569000,2022,Ojeté,140734,Benzín,110,Automatická
Peugeot,208,349555,2022,Ojeté,67465,Elektro,100,Automatická
Audi,S3,666000,2017,Ojeté,148000,Benzín,228,Automatická
Subaru,XV,449000,2019,Ojeté,60000,Benzín,115,Automatická
Dodge,Charger,1100000,2021,Ojeté,55000,Benzín,357,
Škoda,Kodiaq,599000,2022,Ojeté,146000,Nafta,110,Automatická
Dodge,Ram,799000,2018,Ojeté,155000,Benzín,295,Automatická
Peugeot,307,44000,2004,Ojeté,200000,Benzín,80,Manuální
BMW,i3,499555,2021,Ojeté,78360,Elektro,125,Automatická
Škoda,Octavia,569000,2023,Ojeté,113161,Nafta,110,Automatická
Škoda,Roomster,139000,2009,Ojeté,125000,Benzín,77,Manuální
Volvo,XC40,699000,2020,Ojeté,83000,Nafta,110,Automatická
Škoda,Fabia,189000,2020,Ojeté,170479,Benzín,70,Manuální
Škoda,Octavia,154000,2009,Ojeté,95200,Benzín,90,Manuální
Škoda,Scala,315000,2020,Ojeté,166000,Nafta,85,Automatická
BMW,Řada 3,279000,2009,Ojeté,190803,Benzín,200,Manuální
Peugeot,207,59999,2008,Ojeté,117000,Benzín,70,Manuální
Volkswagen,Golf,355000,2017,Ojeté,135000,Benzín,110,Automatická
Volkswagen,Touran,185000,2011,Ojeté,157160,Benzín,103,
BMW,Řada 3,549000,2020,Ojeté,154083,Nafta,140,Automatická
Škoda,Octavia,189000,2012,Ojeté,369307,Nafta,103,Manuální
Volkswagen,Tiguan,219000,2012,Ojeté,227765,Nafta,81,Manuální
Volkswagen,Golf,239000,2014,Ojeté,220736,Nafta,110,Manuální
Dacia,Sandero,38000,2008,Ojeté,188000,Benzín,55,Manuální
Land Rover,Range Rover Velar,2299000,2025,Nové,0,Nafta,221,Automatická
Opel,Meriva,199000,2016,Ojeté,110084,Benzín,103,Manuální
Volvo,S60,959000,2024,Ojeté,30728,Hybridní,257,Automatická
BMW,X6,544500,2011,Ojeté,271019,Nafta,225,Automatická
Ford,Fusion,49000,2003,Ojeté,137300,Benzín,74,Manuální
Chevrolet,Corvette,2099000,2022,Ojeté,69000,Benzín,369,Automatická
Škoda,Octavia,244000,2018,Ojeté,239570,Nafta,85,Automatická
Volkswagen,Transporter,199000,2010,Ojeté,520143,Nafta,103,Manuální
Škoda,Octavia,509000,2022,Ojeté,122940,Nafta,110,Automatická
BMW,Řada 5,320000,2015,Ojeté,254200,Nafta,230,Automatická
Audi,A3,229000,2013,Ojeté,55816,Benzín,90,Manuální
Škoda,Octavia,799000,2021,Ojeté,54000,Nafta,147,Automatická
Peugeot,5008,150000,2011,Ojeté,205019,Nafta,82,Manuální
Land Rover,Range Rover Velar,1699000,2023,Ojeté,27688,Hybridní,297,Automatická
Mini,One,49000,2003,Ojeté,221412,Nafta,55,Manuální
Volkswagen,Passat,85000,2006,Ojeté,230415,Benzín,75,Manuální
Škoda,Fabia,125000,2014,Ojeté,149841,Benzín,63,Manuální
Ford,Kuga,921844,2026,Nové,15,Benzín,134,Automatická
Škoda,Octavia,310000,2018,Ojeté,172700,Nafta,85,Automatická
Renault,Clio,59000,2006,Ojeté,103604,Benzín,55,
Cupra,Formentor,709000,2024,Ojeté,29000,Benzín,140,Automatická
Škoda,Octavia,340000,2019,Ojeté,125500,Benzín,110,Automatická
Ford,Focus,50000,2010,Ojeté,114486,Benzín,74,Manuální
Mazda,CX-5,519000,2020,Ojeté,94000,Benzín,121,Manuální
Mazda,CX-5,449000,2017,Ojeté,121000,Benzín,121,Manuální
Škoda,Superb,150000,2010,Ojeté,234600,Nafta,125,Manuální
Mazda,6,365000,2015,Ojeté,143000,Benzín,121,Manuální
Volvo,V70,222999,2015,Ojeté,216811,Nafta,133,Manuální
Dacia,Logan,130000,2016,Ojeté,35034,Benzín,54,Manuální
Škoda,Fabia,235000,2016,Ojeté,113000,Benzín,66,Manuální
BMW,Z4,945000,2021,Ojeté,6000,Benzín,190,Automatická
Škoda,Octavia,210000,2017,Ojeté,256000,Nafta,85,Manuální
Mazda,6,375000,2017,Ojeté,129500,Benzín,121,Manuální
Ford,Fiesta,30000,2006,Ojeté,189941,Benzín,51,Manuální
Škoda,Fabia,116000,2012,Ojeté,93994,Benzín,63,Manuální
Volkswagen,Golf,190000,2013,Ojeté,215543,Nafta,81,Automatická
Seat,Ibiza,50000,2008,Ojeté,180926,Benzín,63,Manuální
Škoda,Superb,650000,2021,Ojeté,63803,Hybridní,160,Automatická
Mazda,6,80000,2008,Ojeté,233546,Benzín,108,Automatická
Škoda,Superb,310000,2017,Ojeté,281643,Nafta,140,Automatická
Opel,Agila,70000,2009,Ojeté,33293,Benzín,48,Manuální
Škoda,Scala,460000,2021,Ojeté,59556,Benzín,110,Automatická
Škoda,Fabia,90000,2010,Ojeté,173676,Nafta,55,Manuální
Dacia,Duster,290000,2021,Ojeté,68795,Benzín,74,Manuální
Nissan,Qashqai,80000,2009,Ojeté,235806,Benzín,84,Manuální
BMW,Řada 5,380000,2016,Ojeté,138428,Nafta,160,Automatická
Dacia,Duster,150000,2015,Ojeté,137181,Benzín,92,Manuální
Škoda,Superb,200000,2012,Ojeté,205084,Nafta,103,Automatická
Škoda,Fabia,280000,2018,Ojeté,94539,Benzín,81,Manuální
Dodge,Ram,1099000,2020,Ojeté,169000,Benzín,295,Automatická
Škoda,Superb,370000,2016,Ojeté,183941,Nafta,140,Automatická
Hyundai,Tucson,570000,2023,Ojeté,18000,Benzín,110,Automatická
Hyundai,Tucson,400000,2019,Ojeté,166124,Nafta,136,Manuální
Ford,Kuga,220000,2014,Ojeté,183527,Nafta,110,Manuální
Volkswagen,Golf,364000,2021,Ojeté,89299,Benzín,81,Manuální
Škoda,Fabia,320000,2023,Ojeté,37026,Benzín,59,Manuální
Škoda,Fabia,85000,2010,Ojeté,236208,Benzín,77,Manuální
Škoda,Octavia,25000,1999,Ojeté,130000,Benzín,110,Manuální
Škoda,Scala,381000,2022,Ojeté,98678,Benzín,81,Manuální
Nissan,Note,109000,2008,Ojeté,72341,Benzín,65,Manuální
Škoda,Fabia,370000,2023,Ojeté,15811,Benzín,70,Manuální
Dodge,Ram,1259000,2020,Ojeté,185000,LPG + benzín,301,Automatická
Ford,Kuga,670000,2022,Ojeté,15056,Hybridní,165,Automatická
Škoda,Karoq,550000,2024,Ojeté,78521,Benzín,110,Manuální
Volkswagen,Golf,120000,2011,Ojeté,138629,Benzín,63,Manuální
Kia,Sportage,650000,2023,Ojeté,5400,Benzín,110,Automatická
Škoda,Octavia,479000,2022,Ojeté,82476,Nafta,110,Automatická
Škoda,Fabia,440000,2023,Ojeté,23500,Benzín,81,Manuální
Volkswagen,Golf,564000,2021,Ojeté,101197,Nafta,147,Automatická
Škoda,Karoq,707000,2023,Ojeté,28675,Benzín,110,Automatická
Škoda,Rapid,249000,2018,Ojeté,118000,Benzín,92,Automatická
Škoda,Fabia,274000,2021,Ojeté,88082,Benzín,70,Manuální
Škoda,Scala,452000,2023,Ojeté,25336,Benzín,81,Manuální
Ford,Ranger,1680000,2026,Nové,12,Nafta,176,Automatická
Škoda,Scala,440000,2024,Ojeté,28562,Benzín,85,Manuální
Škoda,Kodiaq,611000,2021,Ojeté,98185,Nafta,110,Automatická
Volkswagen,Golf,249900,2013,Ojeté,137294,Benzín,103,Manuální
Dodge,Challenger,729000,2021,Ojeté,17966,Benzín,227,Automatická
Ford,Focus,129900,2011,Ojeté,145122,Nafta,85,Manuální
Škoda,Octavia,149000,2014,Ojeté,252190,Nafta,66,Manuální
Mercedes-Benz,Třídy E,469900,2016,Ojeté,242000,Benzín,245,Automatická
Hyundai,i30,130000,2013,Ojeté,162448,Nafta,81,Manuální
Volkswagen,Passat,399000,2015,Ojeté,161839,Nafta,176,
Volvo,XC90,519000,2017,Ojeté,239949,Nafta,173,Automatická
Škoda,Karoq,600000,2024,Ojeté,38508,Benzín,110,Manuální
Škoda,Octavia,330000,2020,Ojeté,133892,Nafta,85,Manuální
Volvo,XC90,799000,2019,Ojeté,139983,Benzín,228,Automatická
