znacka,model,cena,rok,stav,najeto,vykon,palivo,kapacita_baterie,prevodovka,pohon
Jaguar,E-Pace,549000,2021,Ojeté,144500,120,Nafta,0,Automatická,4x4
Kia,XCee´d,449000,2021,Ojeté,77600,150,Benzín,0,Automatická,Pohon předních kol
Maserati,Levante,999999,2021,Ojeté,96000,185,Nafta,0,,4x4
Land Rover,Range Rover,1399000,2021,Ojeté,110000,258,Nafta,0,Automatická,4x4
Land Rover,Discovery Sport,549099,2021,Ojeté,141000,150,Nafta,0,Automatická,4x4
Škoda,Superb,503000,2021,Ojeté,53737,110,Nafta,0,Automatická,Pohon předních kol
Volkswagen,Passat,379000,2021,Ojeté,181000,110,Nafta,0,Manuální,Pohon předních kol
Subaru,Outback,779000,2021,Ojeté,109170,124,Benzín,0,Automatická,4x4
Volkswagen,Tiguan,699000,2021,Ojeté,34175,110,Benzín,0,Automatická,Pohon předních kol
Hyundai,Tucson,460000,2021,Ojeté,82038,110,Benzín,0,Manuální,
Škoda,Fabia,245000,2021,Ojeté,66880,70,Benzín,0,Manuální,Pohon předních kol
Audi,A3,397000,2021,Ojeté,155885,110,Benzín,0,Automatická,
Peugeot,3008,405000,2021,Ojeté,69500,96,Benzín,0,Manuální,Pohon předních kol
Jeep,Compass,475000,2021,Ojeté,115000,140,Hybridní,0,Automatická,4x4
Dodge,Ram,1179000,2021,Ojeté,117000,295,Benzín,0,Automatická,4x4
Ford,Ranger,1487380,2026,Nové,15,176,Nafta,0,Automatická,4x4
Škoda,Scala,298000,2021,Ojeté,148800,81,Benzín,0,Automatická,
Lexus,UX 250h,550000,2021,Ojeté,35000,135,Benzín,0,Automatická,Pohon předních kol
Mercedes-Benz,GLE,1249900,2021,Ojeté,91370,245,Hybridní,0,Automatická,4x4
Nissan,X-Trail,480000,2021,Ojeté,137225,110,Nafta,0,Automatická,4x4
Ford,Kuga,495000,2021,Ojeté,47000,165,Hybridní,0,Automatická,
Hyundai,i20,270000,2021,Ojeté,50116,62,Benzín,0,Manuální,
Škoda,Fabia,253000,2021,Ojeté,101284,70,Benzín,0,Manuální,Pohon předních kol
Audi,A6,789900,2021,Ojeté,90000,180,Nafta,0,Automatická,4x4
Škoda,Karoq,540000,2021,Ojeté,136913,110,Benzín,0,Automatická,
Toyota,Proace City Verso,470000,2021,Ojeté,114396,96,Benzín,0,Automatická,
BMW,Řada 5,690000,2021,Ojeté,215000,,Nafta,0,Automatická,4x4
Ford,Mondeo,399000,2021,Ojeté,181000,138,Hybridní,0,Automatická,Pohon předních kol
Dacia,Sandero,256000,2021,Ojeté,65809,67,Benzín,0,Manuální,
Volvo,XC90,1049000,2021,Ojeté,89194,173,Nafta,0,Automatická,4x4
Volkswagen,ID.4,550000,2021,Ojeté,124060,150,Elektro,82,Automatická,
Volkswagen,Tiguan,659000,2021,Ojeté,147875,110,Nafta,0,Automatická,4x4
Volkswagen,Golf,420000,2021,Ojeté,64407,96,Benzín,0,Manuální,
Škoda,Scala,351000,2021,Ojeté,48296,81,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,411000,2021,Ojeté,92663,110,Benzín,0,Manuální,Pohon předních kol
Kia,Rio,259000,2021,Ojeté,24453,62,Benzín,0,Manuální,Pohon předních kol
Škoda,Kodiaq,649900,2021,Ojeté,75111,110,Nafta,0,Automatická,4x4
Škoda,Karoq,629000,2021,Ojeté,118887,110,Nafta,0,Automatická,4x4
Volkswagen,Multivan,1120000,2021,Ojeté,102000,110,Nafta,0,Automatická,Pohon předních kol
Peugeot,508,499999,2021,Ojeté,72004,133,Hybridní,0,Automatická,Pohon předních kol
Škoda,Octavia,545000,2021,Ojeté,163078,147,Nafta,0,Automatická,4x4
BMW,X6,1549000,2021,Ojeté,117818,210,Nafta,0,Automatická,4x4
Audi,S7,1475000,2021,Ojeté,95302,253,Nafta,0,Automatická,4x4
Volkswagen,Caddy,387000,2021,Ojeté,190037,90,Nafta,0,Automatická,
Škoda,Scala,333000,2021,Ojeté,72855,85,Benzín,0,Manuální,Pohon předních kol
Škoda,Superb,659000,2021,Ojeté,60002,147,Nafta,0,Automatická,Pohon předních kol
Škoda,Octavia,626000,2021,Ojeté,25974,110,Nafta,0,Automatická,4x4
Škoda,Octavia,599000,2021,Ojeté,144200,147,Nafta,0,,Pohon předních kol
Škoda,Kodiaq,806000,2021,Ojeté,75911,147,Nafta,0,Automatická,4x4
Škoda,Superb,525000,2021,Ojeté,252334,110,Nafta,0,Manuální,Pohon předních kol
Volvo,XC40,689000,2021,Ojeté,86589,145,Benzín,0,Automatická,4x4
Škoda,Scala,216000,2021,Ojeté,133314,70,Benzín,0,Manuální,Pohon předních kol
Škoda,Karoq,449000,2021,Ojeté,142154,110,Nafta,0,Manuální,Pohon předních kol
Mercedes-Benz,CLA,450000,2018,Ojeté,76571,115,Benzín,0,Automatická,
Škoda,Fabia,289000,2021,Ojeté,93556,70,Benzín,0,Manuální,Pohon předních kol
Hyundai,i30,320000,2021,Ojeté,123391,117,Benzín,0,Manuální,
Dacia,Duster,349000,2021,Ojeté,37267,74,LPG + benzín,0,Manuální,
Škoda,Fabia,242000,2021,Ojeté,88082,70,Benzín,0,Manuální,Pohon předních kol
Škoda,Fabia,229000,2021,Ojeté,124067,81,Benzín,0,Manuální,Pohon předních kol
Škoda,Scala,470000,2021,Ojeté,52711,110,Benzín,0,Automatická,
Volkswagen,Tiguan,799000,2021,Ojeté,47646,180,Benzín,0,Automatická,4x4
Škoda,Scala,299000,2021,Ojeté,165000,81,Benzín,0,Manuální,Pohon předních kol
BMW,X5,1099000,2021,Ojeté,108262,210,Nafta,0,Automatická,4x4
